UI,E1a,E2a,E3a,E4a,E5a,N1a,N2a,N3a,N4a,N5a,D1a,D2a,D3a,D4a,D5a,I1a,I2a,I3a,I4a,I5a,A1a,A2a,A3a,A4a,A5a,E1b,E2b,E3b,E4b,E5b,N1b,N2b,N3b,N4b,N5b,D1b,D2b,D3b,D4b,D5b,I1b,I2b,I3b,I4b,I5b,A1b,A2b,A3b,A4b,A5b,E1c,E2c,E3c,E4c,E5c,N1c,N2c,N3c,N4c,N5c,D1c,D2c,D3c,D4c,D5c,I1c,I2c,I3c,I4c,I5c,A1c,A2c,A3c,A4c,A5c,mean_target
10112,3,3,3,3,3,2,2,1,1,4,3,2,2,4,3,2,1,1,1,3,1,2,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,2,4,3,3,3,3,4,3,4,1,1,3,3,3,4,3,2,6.00
10113,4,3,3,3,4,3,3,4,4,4,4,4,3,3,4,4,3,3,3,4,2,2,3,3,2,3,3,3,3,4,3,3,3,3,4,3,4,3,3,4,3,2,3,3,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,2,2,4,2,2,3,2,2,6.92
10114,4,2,3,4,4,4,3,4,3,5,4,3,4,4,5,3,1,1,2,4,2,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
10115,3,3,2,3,4,5,4,3,3,3,2,3,3,3,3,3,2,3,3,3,3,4,3,3,4,3,3,3,3,5,5,1,3,4,4,1,3,4,4,5,1,1,1,1,5,3,2,2,1,4,4,1,2,3,5,5,5,5,4,5,2,5,3,4,5,3,3,2,3,5,3,3,2,3,5,8.10
10116,4,3,3,4,4,2,4,5,3,4,3,4,4,5,5,3,3,3,3,4,1,1,3,2,1,3,3,3,3,4,3,4,5,2,5,3,4,3,4,5,3,3,2,3,4,2,1,3,2,2,3,2,4,4,4,2,3,4,2,5,3,3,3,4,5,3,2,3,3,5,1,1,2,3,2,7.90
10117,4,4,4,4,4,5,5,5,4,4,2,4,3,4,4,3,2,1,2,4,3,3,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,5,5,4,4,5,4,5,2,5,4,5,5,3,2,3,2,4,1,1,2,2,2,7.55
10118,4,3,3,4,4,4,4,4,4,4,3,4,3,3,5,4,4,3,3,4,2,1,2,2,2,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,3,3,3,3,4,2,2,2,2,3,4,3,3,4,5,4,5,4,4,5,3,4,3,3,5,3,3,3,3,5,2,1,1,2,1,6.80
10119,4,3,4,4,4,2,2,2,2,4,3,2,1,3,5,2,1,2,1,4,1,1,1,1,2,3,3,3,4,4,3,3,2,4,5,2,2,2,3,5,2,1,1,2,5,2,2,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,7.30
10120,4,3,3,3,3,2,1,2,2,3,3,3,3,3,5,4,2,2,2,3,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56
10121,3,3,5,5,5,3,4,3,4,1,1,2,2,4,3,5,1,1,1,3,2,1,5,3,2,5,3,3,5,5,1,2,4,4,4,1,3,2,4,5,2,3,1,3,5,1,3,4,3,2,3,2,3,2,4,3,3,3,5,5,2,1,4,3,3,2,3,1,3,4,1,1,2,4,4,6.25
10122,2,2,2,3,3,2,3,3,5,3,3,5,4,4,5,4,2,2,2,5,1,1,1,1,2,3,2,3,3,5,3,4,4,4,5,3,5,5,5,5,4,2,2,3,5,1,1,1,1,1,4,3,3,3,5,1,4,3,3,5,3,4,4,5,5,4,2,2,1,5,1,1,1,1,1,6.11
10123,3,1,3,1,2,1,3,2,2,3,4,3,1,4,4,4,2,2,1,4,1,1,1,1,1,2,1,3,3,3,3,3,1,4,4,4,4,3,5,3,3,3,3,2,4,1,1,2,2,2,4,2,4,4,2,3,4,4,3,3,3,3,4,4,5,3,3,2,2,3,1,1,2,1,1,8.30
10124,2,5,5,3,5,3,5,5,4,4,3,4,4,3,5,5,1,2,1,5,3,3,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,4,5,2,3,3,2,1,5,2,2,4,3,5,5,1,1,1,5,1,1,3,5,4,4.75
10125,3,2,3,3,3,2,3,3,3,3,4,4,4,5,4,3,2,3,2,3,2,2,2,2,2,3,2,1,2,2,1,2,2,2,3,2,1,2,2,2,1,1,1,2,2,3,3,3,3,3,2,2,2,2,3,2,2,2,2,3,2,2,1,2,3,1,1,1,1,3,3,4,4,3,3,6.75
10126,5,4,3,4,5,5,5,5,5,5,3,5,4,4,5,4,4,3,3,5,2,1,2,3,2,3,4,5,5,5,5,5,5,5,5,4,4,4,5,5,2,4,2,2,5,1,1,2,1,1,5,4,4,5,4,4,5,5,5,5,2,4,4,4,4,2,3,3,3,5,1,1,1,1,2,6.89
10127,2,2,5,4,3,3,4,3,4,5,5,5,4,5,5,4,5,5,4,5,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,3,3,2,5,3,3,5,3,3,3,5,3,4,3,2,1,5,3,1,1,2,1,7.45
10128,4,4,4,3,3,4,1,3,4,3,4,2,2,4,5,3,2,3,2,4,1,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,3,4,3,4,3,3,5,3,3,2,2,3,3,2,3,2,4,2,2,1,2,2,6.00
10129,2,5,5,4,3,1,1,2,1,3,4,2,2,4,3,1,1,1,1,4,5,4,5,3,5,2,5,5,5,4,1,1,1,1,4,1,1,1,3,4,1,1,1,1,4,5,5,5,5,5,2,5,5,5,3,1,1,1,1,3,2,3,2,3,3,1,1,1,1,3,5,5,5,5,5,8.36
10130,2,2,2,3,4,3,3,3,4,2,3,3,3,4,2,3,1,1,1,4,3,4,4,4,4,2,2,2,2,4,3,2,3,2,3,3,2,2,3,3,3,2,2,2,3,2,3,3,2,3,3,2,2,3,4,3,2,2,4,4,3,3,2,3,3,2,2,2,2,2,2,4,4,3,3,7.50
10131,1,1,1,1,5,1,1,1,1,4,3,3,2,5,5,4,1,1,1,5,3,3,2,1,4,3,4,4,3,3,1,1,1,1,3,1,1,1,2,3,1,1,1,1,4,3,1,2,3,3,3,2,3,3,4,1,2,1,1,4,2,2,1,4,4,1,1,1,2,5,3,3,1,1,4,5.44
10132,5,5,4,4,3,3,3,2,4,4,1,3,3,3,4,1,2,1,1,3,2,3,4,5,3,3,1,1,2,1,1,5,1,1,2,1,2,1,3,3,1,1,1,1,1,5,1,1,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,5.78
10133,3,3,3,2,5,3,1,2,3,5,4,3,3,4,5,2,2,2,2,5,3,1,3,1,2,2,2,3,3,3,1,1,3,2,3,3,3,3,3,4,3,2,1,1,3,3,3,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,5.29
10134,4,3,3,2,3,2,2,3,2,4,3,4,3,4,4,2,2,2,2,3,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57
10135,3,2,2,4,4,3,4,3,3,4,2,3,4,3,4,2,1,1,1,4,3,3,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,3,4,4,3,4,3,4,2,4,5,4,4,2,1,1,1,4,1,1,3,1,2,8.20
10136,2,1,2,2,3,2,3,3,2,2,1,2,1,2,2,1,1,1,1,2,4,5,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56
10137,5,2,3,5,5,4,3,3,4,5,4,5,5,5,5,4,3,3,3,5,1,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,4,3,4,4,4,5,4,4,4,5,5,4,2,3,2,5,1,1,1,1,1,7.08
10138,3,3,3,3,5,3,4,5,4,5,4,4,4,4,5,2,3,2,3,4,3,1,3,1,2,4,4,3,4,5,4,3,3,4,4,3,4,4,3,4,2,2,1,2,4,3,2,3,2,3,3,4,3,3,4,4,3,3,4,3,4,5,4,4,4,2,3,2,2,3,3,2,3,3,2,8.08
10139,3,3,3,4,3,3,3,3,3,4,4,3,4,4,4,3,3,3,3,3,1,2,2,2,2,3,3,3,4,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,4,1,3,3,2,2,3,3,4,4,4,4,4,3,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,6.44
10140,4,2,1,2,3,2,4,4,3,5,2,5,4,4,4,2,1,1,1,3,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,5,4,5,5,3,5,4,4,4,5,5,3,3,2,1,5,1,2,2,1,5,6.00
10141,3,2,2,2,4,3,3,4,3,4,4,3,4,4,4,3,2,2,2,4,2,2,2,2,2,2,5,4,4,5,2,3,4,4,4,2,4,2,2,4,5,1,3,1,2,4,3,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,6.89
10142,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,5,4,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,4,3,6.00
10143,2,5,4,4,3,4,1,2,3,3,2,3,3,3,4,2,1,1,1,3,3,3,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.11
10144,4,4,4,4,4,2,2,2,2,4,4,3,3,3,4,3,3,2,1,4,2,1,3,2,3,4,3,4,2,4,2,2,2,3,4,4,3,3,3,4,3,2,3,2,4,2,1,2,2,2,3,3,2,3,4,2,4,4,2,5,2,3,2,3,5,4,2,2,2,4,1,2,2,2,3,7.25
10145,4,1,4,2,4,4,5,4,1,4,3,3,1,4,4,1,1,1,1,4,5,5,5,5,5,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,5,4,3,4,3,4,4,3,2,3,2,3,1,2,3,2,1,3,3,4,5.89
10146,3,1,2,3,3,2,2,2,2,3,3,2,2,3,3,2,2,2,2,3,3,2,2,1,2,2,1,1,1,2,1,1,1,1,3,3,2,2,1,2,1,1,1,1,3,3,3,1,1,1,3,2,1,1,3,1,2,1,1,1,3,3,2,2,4,2,1,1,1,3,3,3,3,2,3,5.89
10147,3,2,1,2,3,2,2,2,1,4,3,5,4,3,5,3,4,2,3,5,1,1,2,1,1,2,2,2,2,4,3,4,2,2,4,3,3,4,3,4,3,1,2,1,4,2,2,2,1,2,3,3,3,3,4,4,4,4,2,5,4,4,3,3,4,3,3,2,2,5,2,1,3,2,2,8.64
10148,3,4,4,4,1,1,4,2,1,3,4,3,4,3,4,3,3,2,2,1,4,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,2,1,1,1,1,1,1,3,2,2,3,1,1,1,1,1,1,2,5,3,3,2,7.11
10149,3,2,2,2,4,4,4,2,4,4,3,1,4,3,4,4,4,2,1,4,3,2,2,2,3,3,4,2,3,4,3,3,3,2,4,4,3,3,3,4,2,3,2,2,4,3,3,3,2,2,3,2,2,4,4,4,3,3,4,4,4,3,3,3,3,3,3,3,2,4,2,2,3,3,3,6.33
10150,2,3,3,3,4,2,3,2,2,2,2,2,4,4,4,1,1,2,2,4,1,1,2,2,2,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4,3,2,2,2,4,1,1,2,2,2,3,2,3,2,4,2,2,2,1,4,3,3,3,4,4,2,2,2,2,4,1,1,3,1,1,8.08
10151,2,4,4,4,2,2,1,1,1,3,2,1,2,2,2,1,1,1,1,3,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00
10152,4,4,3,4,4,4,4,4,3,4,3,3,3,4,4,2,1,1,1,4,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,3,5,3,5,3,4,4,4,3,3,3,5,2,1,2,1,3,1,4,1,1,2,6.67
10153,4,4,4,4,4,3,4,4,3,3,3,4,3,4,4,3,2,2,2,3,2,2,3,2,3,4,4,5,5,3,3,5,4,4,4,3,3,3,4,4,3,3,3,1,4,2,3,3,3,2,3,4,3,4,4,3,5,5,3,4,4,4,2,4,5,4,3,1,1,4,3,2,4,2,3,7.27
10154,5,2,2,4,4,4,4,4,4,4,4,2,2,2,4,3,2,3,3,4,1,2,2,1,2,4,3,3,4,4,4,4,4,4,5,3,2,3,3,5,2,2,2,2,5,2,2,2,1,2,4,3,3,4,5,4,4,4,4,5,3,3,3,3,5,3,3,2,2,5,2,2,2,2,2,7.36
10155,4,2,5,4,4,1,3,2,3,3,3,3,5,5,4,2,1,1,1,4,1,2,2,5,2,4,4,4,4,5,1,4,3,1,4,2,3,4,4,5,2,1,1,1,5,3,2,3,2,2,4,2,3,3,4,3,4,3,3,3,3,4,4,5,5,2,1,1,1,3,2,1,1,1,1,8.08
10156,3,3,3,3,3,2,3,4,3,4,3,3,3,3,3,3,2,2,3,3,2,2,2,3,2,4,2,3,3,4,3,3,3,3,3,4,4,3,4,3,3,2,2,2,3,2,2,3,2,2,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,7.70
10157,3,3,3,3,4,4,3,2,4,4,3,3,3,3,4,2,1,2,1,4,2,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,3,3,2,3,4,2,3,2,3,3,2,1,2,1,3,2,2,3,2,3,5.86
10158,2,2,2,2,3,2,2,2,2,2,3,1,2,2,3,2,2,1,1,2,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,2,3,3,3,4,3,2,3,3,2,1,1,1,3,3,2,2,2,2,6.11
10159,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3,3,3,2,3,2,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,4,2,2,2,2,2,3,2,3,4,4,4,3,4,4,3,4,4,3,4,4,3,3,2,3,4,2,2,2,2,2,7.44
10160,2,2,3,2,3,1,2,2,2,4,5,3,3,4,4,3,2,2,1,3,3,3,2,3,2,3,2,2,2,3,2,2,2,2,3,3,3,2,3,3,3,2,2,2,4,2,3,3,3,2,3,3,3,3,3,2,3,2,2,3,4,2,2,2,4,2,3,2,2,2,2,3,2,4,3,8.00
10161,4,2,1,2,5,3,1,5,2,5,2,4,3,4,5,2,1,1,1,5,2,2,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.63
10162,5,2,3,4,3,2,4,3,2,4,3,4,3,4,3,2,2,2,1,5,3,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.67
10163,2,2,2,3,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,5,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,4,4,6.44
10164,3,2,2,4,5,4,2,3,3,3,3,4,3,3,4,3,3,2,2,5,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,4,3,4,5,2,5,2,5,3,4,5,2,3,2,3,5,3,3,3,2,3,8.55
10165,4,4,4,4,4,4,2,4,3,3,3,4,4,4,4,3,2,1,2,3,3,3,3,2,2,4,3,4,4,4,2,2,2,3,4,4,2,3,4,4,1,2,2,1,4,3,4,3,3,3,4,4,4,4,4,3,2,3,3,4,4,4,4,4,4,4,2,3,2,4,2,3,4,3,3,6.63
10166,5,2,4,5,4,4,5,5,3,5,4,4,3,4,5,4,3,2,3,3,1,1,1,1,1,4,3,4,5,4,2,4,5,2,3,3,3,1,4,4,2,2,1,1,3,1,1,1,1,1,5,2,3,5,5,4,5,5,3,5,4,3,4,4,5,1,2,1,1,4,1,1,1,1,1,7.00
10167,3,4,5,5,4,5,5,4,4,4,3,4,3,4,5,3,3,2,1,4,2,3,4,3,3,4,4,3,3,4,4,4,4,4,3,4,3,4,4,5,3,3,3,2,3,3,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
10168,3,1,2,3,4,3,2,3,4,5,4,5,4,5,5,4,1,1,1,4,1,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15
10169,3,2,3,3,4,3,4,3,3,4,2,4,3,4,4,3,3,2,3,4,2,2,2,2,2,3,3,2,2,3,4,1,3,3,4,4,3,2,2,2,3,1,1,2,4,3,3,5,3,4,2,3,3,4,2,4,2,2,2,4,3,2,2,4,4,2,2,1,2,3,2,2,3,2,3,8.15
10170,4,4,3,3,4,5,3,4,4,5,4,3,5,5,5,4,4,4,4,4,2,3,3,2,2,4,1,3,3,5,3,2,3,3,3,4,2,3,2,5,2,3,3,2,5,2,3,1,1,5,5,2,4,5,4,4,1,3,4,4,4,3,4,4,4,4,3,3,3,5,2,2,3,2,5,6.44
10171,1,1,1,1,1,1,1,1,1,3,1,1,2,1,3,1,1,1,1,1,5,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.13
10172,5,3,4,4,4,5,4,4,5,5,5,5,5,4,4,5,4,4,3,5,3,1,2,3,2,4,2,2,3,5,4,4,5,4,5,5,4,4,5,5,3,4,3,4,5,4,2,4,2,2,4,2,4,4,5,4,4,5,4,5,5,5,2,5,5,3,4,4,3,5,1,2,2,1,2,8.55
10173,5,2,4,4,5,5,3,3,4,5,4,4,4,2,5,4,3,3,3,5,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,3,3,3,3,3,2,3,4,4,3,4,5,3,3,3,3,5,3,2,1,3,3,7.54
10174,3,3,2,3,5,3,2,3,2,4,3,3,3,3,4,2,2,1,1,4,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,2,2,3,4,2,2,2,2,2,4,4,3,3,3,4,3,3,3,4,4,3,3,3,4,3,2,2,2,4,2,2,3,2,2,8.00
10175,5,4,3,4,4,3,2,2,1,4,3,2,2,1,4,2,1,1,1,3,5,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.33
10176,4,5,5,5,4,2,3,3,3,4,3,2,3,4,4,3,3,2,2,4,3,3,3,2,3,3,4,4,4,3,1,1,2,3,3,2,3,2,2,3,2,1,1,1,3,2,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,7.22
10177,2,1,1,1,2,2,2,2,1,2,2,2,2,3,3,1,1,1,1,3,2,3,3,2,3,4,2,2,4,4,4,3,3,4,4,4,3,3,3,4,1,1,1,2,3,3,2,2,2,2,4,2,3,4,4,3,3,3,3,4,3,4,4,3,4,3,1,1,1,4,2,1,3,2,2,6.56
10178,3,5,5,5,2,1,2,2,3,2,1,3,2,2,1,2,2,3,1,5,4,3,4,5,5,3,5,5,5,3,2,3,3,3,3,2,1,3,3,3,1,1,1,1,3,3,5,5,5,3,2,5,5,5,3,5,3,3,3,4,1,2,3,2,2,1,1,1,1,2,3,3,4,2,5,7.42
10179,3,4,3,4,3,3,3,3,2,3,3,2,2,2,3,2,2,1,1,2,3,4,3,5,3,3,2,3,3,2,2,3,3,3,2,2,2,3,2,2,2,1,1,1,2,4,4,4,4,3,3,3,3,4,4,4,3,3,4,4,5,3,4,4,4,4,5,5,5,4,2,2,3,3,3,6.75
10180,3,4,4,4,2,4,4,3,3,2,3,2,3,2,2,2,1,1,3,4,5,5,5,5,5,3,4,3,4,4,4,4,4,3,4,3,3,3,3,3,3,3,2,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6.78
10181,3,5,5,5,5,5,2,4,5,5,4,3,2,5,5,4,1,2,3,5,1,1,2,4,2,3,5,5,5,5,5,3,2,5,4,3,2,2,3,4,2,1,1,2,5,3,3,3,3,2,5,5,5,5,4,4,4,4,5,5,3,2,4,5,5,2,1,1,1,5,3,2,5,2,5,7.10
10182,3,4,3,4,4,4,1,1,4,4,3,3,3,3,4,1,1,1,1,3,3,2,1,1,2,4,1,1,3,3,3,2,2,3,4,2,3,1,4,3,3,1,1,2,3,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,6.90
10183,3,3,3,4,3,3,4,3,4,4,4,3,4,4,4,3,3,3,3,4,4,3,2,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,2,2,2,2,4,2,2,2,2,2,3,2,2,2,3,4,3,3,3,3,4,3,4,4,4,2,2,2,2,4,1,1,2,2,2,8.90
10184,3,3,4,4,3,2,2,4,2,4,2,3,2,2,3,3,2,2,2,3,2,2,3,3,3,3,5,5,4,4,3,4,4,3,4,2,2,2,4,4,2,2,2,3,4,3,3,3,3,4,3,4,4,4,4,2,3,3,4,3,2,2,2,3,4,3,3,2,2,3,3,3,4,4,4,7.45
10185,5,3,4,2,2,3,2,1,4,4,4,3,3,3,1,5,1,1,1,5,2,1,1,1,2,3,1,2,3,4,4,3,3,3,4,3,3,4,2,4,3,1,1,1,3,2,1,2,3,2,3,2,2,3,1,3,4,3,4,2,3,4,5,5,5,4,2,2,2,5,2,2,1,1,2,7.00
10186,3,3,3,3,3,1,2,2,2,3,3,3,3,4,4,3,1,1,1,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,4,2,4,3,2,4,4,3,2,4,5,3,1,1,1,4,3,3,3,4,2,7.11
10187,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,2,2,2,2,3,3,2,2,2,3,2,1,1,1,3,4,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,8.30
10188,4,3,4,3,4,2,4,2,2,3,3,3,3,2,3,2,2,2,2,3,3,2,3,2,2,4,3,3,2,3,3,3,3,3,2,3,3,2,3,3,2,2,2,2,3,3,3,3,2,3,3,3,3,4,3,3,3,2,2,4,3,2,3,3,4,3,2,3,4,3,3,3,2,3,3,7.67
10189,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,5,1,2,1,1,1,3,5,5,5,1,5,3,5,1,1,5,1,1,1,1,1,1,5,1,5,5,1,5,5,1,5,5,5,5,1,5,5,1,5,1,5,5,1,1,1,5,5.44
10190,3,1,1,3,5,1,2,3,1,4,4,4,4,3,3,4,4,3,3,5,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,4,4,3,4,5,4,5,5,4,5,4,5,4,3,3,3,5,1,1,2,1,1,7.33
10191,3,3,3,3,3,3,3,3,3,4,2,3,3,2,3,3,3,3,3,5,3,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33
10192,3,2,2,3,3,3,4,3,3,3,3,2,3,3,4,2,3,2,3,3,2,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,4,3,2,1,1,4,4,3,3,2,3,4,2,2,1,1,4,3,3,3,2,2,7.46
10193,2,2,2,3,3,4,2,2,3,4,3,3,3,4,3,3,1,1,1,4,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,4,3,4,4,4,4,5,4,3,4,4,4,3,2,2,2,5,1,1,1,2,1,7.17
10194,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,4,5,4,4,4,4,5,5,5,5,5,5,4,4,4,3,5,1,1,1,1,1,5,2,3,5,4,3,3,4,3,5,5,4,5,4,5,5,4,4,4,5,1,1,1,1,1,7.91
10195,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,5,5,5,5,4,5,5,2,4,3,4,5,3,1,1,1,5,1,2,3,2,2,5,4,5,5,5,5,2,2,5,5,3,4,4,4,5,4,3,1,1,5,3,1,2,1,4,8.82
10196,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,4,4,5,2,3,3,4,3,4,3,2,5,2,1,2,1,5,1,2,3,2,1,3,1,2,3,4,4,2,1,5,5,2,2,1,4,5,1,1,1,1,5,1,1,3,1,2,8.56
10197,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,2,4,1,3,3,2,4,1,1,2,2,5,1,1,1,1,5,3,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,6.00
10198,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,4,4,4,2,3,3,2,2,3,2,4,3,4,1,1,1,3,2,1,2,2,2,4,3,3,4,4,4,2,3,4,4,3,2,3,4,5,2,1,2,1,5,2,3,4,3,2,7.11
10199,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,4,5,3,5,4,3,4,3,4,3,3,4,3,2,2,3,5,2,1,2,2,2,3,2,3,2,4,3,3,3,2,5,4,4,4,4,5,4,3,3,3,5,1,1,1,1,2,8.64
10200,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,3,3,1,4,3,2,2,2,1,3,1,1,2,2,2,1,1,4,2,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,8.18
10201,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,5,2,2,2,1,2,4,3,3,3,4,4,4,3,4,4,3,4,4,3,4,3,2,2,2,4,2,1,3,2,3,7.75
10202,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,3,4,4,3,4,3,3,3,2,3,3,3,3,1,1,1,3,4,2,2,3,3,4,4,5,4,4,4,4,3,3,4,3,2,3,3,4,1,1,2,1,3,4,2,2,2,3,6.13
10204,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,5,3,4,5,5,5,5,4,4,3,4,4,3,2,1,2,5,3,2,3,3,3,4,4,5,5,4,4,5,5,4,4,3,4,4,4,3,3,3,2,5,4,4,3,3,3,3,6.40
10205,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,4,4,3,3,3,3,4,4,3,3,2,2,2,2,3,2,2,3,3,3,2,1,1,1,3,3,3,3,3,3,7.33
10207,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,6.00
10208,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,2,4,5,3,5,5,3,5,5,5,4,5,5,3,3,4,3,5,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,8.00
10209,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,2,4,2,2,1,1,4,2,4,3,3,4,2,1,1,1,4,1,1,1,1,1,4,1,4,3,5,2,3,2,1,5,2,5,3,5,5,2,1,1,1,4,1,1,2,1,1,7.83
10210,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,4,5,5,3,4,4,4,4,5,4,1,4,5,3,3,3,3,4,2,1,3,1,2,3,3,3,4,4,4,4,4,4,5,5,3,3,4,5,4,3,3,3,5,3,2,4,2,2,7.00
